where 's mr. bergstrom ?	Lisa Simpson
that life is worth living .	Lisa Simpson
victory party under the slide !	Bart Simpson
mr. bergstrom ! mr. bergstrom !	Lisa Simpson
do you know where i could find him ?	Lisa Simpson
the train , how like him ... traditional , yet environmentally sound .	Lisa Simpson
i see he touched you , too .	Lisa Simpson
hey , thanks for your vote , man .	Bart Simpson
well , you got that right . thanks for your vote , girls .	Bart Simpson
well , do n't sweat it . just so long as a couple of people did ... right , milhouse ?	Bart Simpson
lewis ?	Bart Simpson
somebody must have voted .	Bart Simpson
uh oh .	Bart Simpson
i demand a recount .	Bart Simpson
no .	Bart Simpson
mr. bergstrom ! hey , mr. bergstrom !	Lisa Simpson
hey , lisa , indeed .	Lisa Simpson
oh , i mean , were you just going to leave , just like that ?	Lisa Simpson
you ca n't go ! you 're the best teacher i 'll ever have .	Lisa Simpson
oh , please .	Lisa Simpson
but i need you too .	Lisa Simpson
i , i understand . mr. bergstrom , i 'm going to miss you .	Lisa Simpson
thank you , mr. bergstrom .	Lisa Simpson
so , i guess this is it ? it you do n't mind i 'll just run alongside the train as it speeds you from my life ?	Lisa Simpson
never thrown a party ? what about that big bash we had with all the champagne and musicians and holy men and everything ?	Homer Simpson
bart did n't get one vote ? ! oh , this is the worst thing that ever happened to us . alright , allright , spilled milk , spilled milk , spilled milk . what are you so mopey about ?	Homer Simpson
nothing .	Lisa Simpson
lisa , tell your father .	Marge Simpson
mr. bergstrom left today .	Lisa Simpson
oh .	Homer Simpson
he 's gone . forever .	Lisa Simpson
and ?	Homer Simpson
i did n't think you 'd understand .	Lisa Simpson
hey , just because i do n't care does n't mean i do n't understand .	Homer Simpson
i 'm glad i 'm not crying because i would hate for you to think that what i 'm about to say is based on emotion . but you , sir , are a baboon !	Lisa Simpson
me ?	Homer Simpson
yes , you ! baboon , baboon , baboon , baboon !	Lisa Simpson
i do n't think you realize what you 're saying .	Homer Simpson
baboon !	Lisa Simpson
whoa , somebody was bound to say it one day . i just ca n't believe it was her .	Bart Simpson
did you hear that , marge ? she called me a baboon ! the stupidest , ugliest , smelliest ape of them all !	Homer Simpson
homer , you are not allowed to have hurt feelings right now . there 's a little girl upstairs who needs you . her confidence in her father is shaken , and no little girl can be happy unless she has faith in her daddy .	Marge Simpson
go away .	Homer Simpson
lisa , do n't hold anything back . you can tell me . are you crying because you called daddy a baboon ?	Homer Simpson
no !	Lisa Simpson
nuts .	Homer Simpson
this is n't going well at all .	Homer Simpson
look , if you just want me to forgive you --	Lisa Simpson
no , no , no . i just wish i knew what to say .	Homer Simpson
although , maybe this will help . now you lost someone special and it hurts . i 'm lucky because i never lost anyone special to me . everyone special to me is under this roof .	Homer Simpson
that was our wedding .	Marge Simpson
oh .	Homer Simpson
children , it 's time for you to go to bed .	Marge Simpson
it 's true . now , you 'll have lots of special people in your life , lisa . there 's probably some place where they all get together , and the food is real good , and guys like me are serving drinks . oh well , maybe i ca n't explain all this , but i can fix your doll house for you . at least , i 'm good at monkey work . you know ... monkey . you know what i mean ?	Homer Simpson
yeah .	Lisa Simpson
i can hold these nails in place with my tail .	Homer Simpson
you 're so silly .	Lisa Simpson
gim me a banana .	Homer Simpson
i do n't have any banana .	Lisa Simpson
come on , you 're holding out on me .	Homer Simpson
i 'm sorry i called you a baboon , dad .	Lisa Simpson
think nothing of it .	Homer Simpson
hey , what 's the matter , son ?	Homer Simpson
ah , dad , if just me , milhouse and lewis had voted ...	Bart Simpson
hey son , would you have gotten any money for being class president ?	Homer Simpson
no .	Bart Simpson
would you have to do extra work ?	Homer Simpson
yeah .	Bart Simpson
and is this martin guy going to get to do anything neat , like throw out the first ball at the world series , huh ?	Homer Simpson
well , no .	Bart Simpson
so , let the baby have his bottle , huh ? that 's my motto .	Homer Simpson
hey ! thanks , monkey-man .	Bart Simpson
holy-moly ... talk about parenting !	Homer Simpson
uh oh .	Homer Simpson
sleep well , maggie . ah , three for three .	Homer Simpson
homie , did you straighten everything out ... ?	Marge Simpson
